SUBURB,Suburb,Latitude,Longitude,Distance_to_Beach,Price,Land_Area
Alexander Heights,Alexander Heights,-31.827132625752213,115.86463227876106,10907.0,449097.34513274336,625.787610619469
Alfred Cove,Alfred Cove,-32.033900413699996,115.815981311,2983.0,849335.0,577.79
Alkimos,Alkimos,-31.6157474409375,115.68766776979167,2268.0,414229.1666666667,10647.875
Anketell,Anketell,-32.21554692,115.87723335333334,9941.0,1005266.6666666666,20896.4
Applecross,Applecross,-32.01348981589041,115.83847697945205,1876.0,1396130.1369863013,703.917808219178
Ardross,Ardross,-32.02677086308411,115.83807494018693,1368.0,1066472.7476635515,547.1495327102804
Armadale,Armadale,-32.14852798842105,116.00421766491229,4080.0,249043.8596491228,859.3684210526316
Ascot,Ascot,-31.934462449224135,115.92816311120689,615.0,806406.0344827586,686.0086206896551
Ashby,Ashby,-31.73352359030675,115.79913741656442,7217.0,483774.5398773006,516.1595092024539
Ashfield,Ashfield,-31.917406229246577,115.93788223219178,643.0,493561.6438356164,663.8493150684932
Attadale,Attadale,-32.02660570619047,115.80202275428572,1535.0,1208154.8285714285,797.2095238095238
Atwell,Atwell,-32.14384870712575,115.86513956766467,9530.0,535864.6347305389,584.6826347305389
Aubin Grove,Aubin Grove,-32.169358978731346,115.86326956492537,8425.0,571357.5820895522,565.6044776119403
Aveley,Aveley,-31.7830763048,115.9860228528,11525.0,436060.0,24519.408
Balcatta,Balcatta,-31.878238609384614,115.82493397692308,6766.0,517947.6923076923,737.4769230769231
Baldivis,Baldivis,-32.340041759204546,115.8132471340909,6505.0,421542.61363636365,1428.409090909091
Balga,Balga,-31.854137022962963,115.84037326296296,8357.0,310759.25925925927,530.0925925925926
Ballajura,Ballajura,-31.842911240081303,115.89932429105691,9618.0,424641.60975609755,650.9674796747968
Banjup,Banjup,-32.15572683827586,115.88308341724138,10604.0,1119134.0689655172,20043.44827586207
Banksia Grove,Banksia Grove,-31.69750961960265,115.8039845807947,3586.0,381361.5894039735,496.5165562913907
Baskerville,Baskerville,-31.797749556111114,116.04985554444445,11336.0,886722.2222222222,53950.444444444445
Bassendean,Bassendean,-31.905277026627907,115.94794521046511,1846.0,545162.7325581395,776.7906976744187
Bateman,Bateman,-32.05539238102804,115.84717311401869,1924.0,805541.1214953271,736.7476635514018
Bayswater,Bayswater,-31.919540133555554,115.91440875111111,1455.0,607845.9777777778,642.7
Beaconsfield,Beaconsfield,-32.06878339269231,115.76662787884615,1538.0,782163.9423076923,584.2403846153846
Beckenham,Beckenham,-32.02100889257576,115.9632692560606,7575.0,403490.7272727273,794.060606060606
Bedford,Bedford,-31.90990929512195,115.8912204097561,3736.0,663263.8414634146,622.7073170731708
Bedfordale,Bedfordale,-32.16337118514851,116.05994834356434,8462.0,747199.801980198,10602.60396039604
Beechboro,Beechboro,-31.86856162168317,115.93893700099011,4949.0,385284.1584158416,716.2871287128713
Beeliar,Beeliar,-32.13287531766424,115.81113447664234,4704.0,531295.9854014599,614.7664233576643
Beldon,Beldon,-31.775225693611112,115.76374070902777,2955.0,487809.8263888889,704.0347222222222
Belhus,Belhus,-31.775571136129034,116.00693444516129,12436.0,788564.5161290322,14663.09677419355
Bellevue,Bellevue,-31.902716806153844,116.03398833942308,4390.0,362396.53846153844,887.6442307692307
Belmont,Belmont,-31.947767578387097,115.93470321612904,2166.0,499492.1129032258,784.9032258064516
Bennett Springs,Bennett Springs,-31.858838717272725,115.93348918000001,5945.0,486220.3333333333,710.1030303030303
Bentley,Bentley,-32.00819083492754,115.91635210869565,3726.0,453018.115942029,670.3768115942029
Bertram,Bertram,-32.24779227263158,115.8449503,8048.0,386795.2153110048,542.5645933014354
Bibra Lake,Bibra Lake,-32.0939832075,115.82788485258621,6312.0,553661.3275862068,643.0431034482758
Bickley,Bickley,-32.002165238888885,116.09271397777778,14362.0,678003.9682539683,14886.587301587302
Bicton,Bicton,-32.028006128552626,115.7861921118421,822.0,1081996.9342105263,732.5526315789474
Booragoon,Booragoon,-32.039936146931815,115.83402311818182,2189.0,893403.4090909091,809.9431818181819
Boya,Boya,-31.91744170849462,116.05386960645161,6798.0,520648.3870967742,2338.6559139784945
Brabham,Brabham,-31.816929845365856,115.96859250000001,8052.0,454992.7073170732,625.170731707317
Brentwood,Brentwood,-32.04367412873016,115.85157621190477,782.0,729470.2380952381,640.3253968253969
Brigadoon,Brigadoon,-31.78230127593023,116.07505535116279,14052.0,751143.8953488372,21898.197674418603
Brookdale,Brookdale,-32.16839548937008,116.00338578503937,6212.0,299138.56692913384,566.9291338582677
Bull Creek,Bull Creek,-32.057294246,115.86329681875,1778.0,814843.75,713.3375
Bullsbrook,Bullsbrook,-31.660160598275866,116.04853256666667,24057.0,501961.4942528736,17998.287356321838
Burns Beach,Burns Beach,-31.7251283162069,115.72549203706896,857.0,914279.1206896552,567.801724137931
Burswood,Burswood,-31.962852501818183,115.89777953939394,1893.0,966151.5151515151,423.09090909090907
Butler,Butler,-31.64332486109948,115.70423590523559,2048.0,382353.40314136125,470.78534031413614
Byford,Byford,-32.21983752460177,115.99277152654868,11825.0,421809.73451327434,774.2300884955753
Calista,Calista,-32.24629057860215,115.80613555268818,4395.0,293597.311827957,799.8387096774194
Camillo,Camillo,-32.11432209717949,116.00028876666666,762.0,298089.74358974356,698.9487179487179
Canning Vale,Canning Vale,-32.08412916021428,115.92609671,7011.0,592426.3428571429,708.2714285714286
Cannington,Cannington,-32.01271771267606,115.93621951267606,5227.0,424927.88732394367,638.5070422535211
Carabooda,Carabooda,-31.602527316666666,115.71994234166668,5524.0,793291.6666666666,42082.583333333336
Cardup,Cardup,-32.249081825384614,115.97607284423076,15144.0,696769.2307692308,16859.076923076922
Carine,Carine,-31.851640050884956,115.77983940088497,2661.0,810248.2300884955,739.2389380530974
Carlisle,Carlisle,-31.978849380833335,115.9181426375,4509.0,545733.3333333334,520.6388888888889
Carmel,Carmel,-32.01940310306122,116.09277936122449,12890.0,604010.2040816327,18577.34693877551
Carramar,Carramar,-31.706800400416665,115.78812190416667,4433.0,525520.6547619047,769.6904761904761
Casuarina,Casuarina,-32.23571846854839,115.87457118064516,10346.0,587005.6290322581,14133.90322580645
Caversham,Caversham,-31.867065507264957,115.96568434957264,3064.0,478820.5128205128,1133.6410256410256
