Suburb,Local government area,LGA_CODE_2021
Alexander Heights,Wanneroo,58760
Alfred Cove,Melville,55320
Alkimos,Wanneroo,58760
Anketell,Kwinana,54830
Applecross,Melville,55320
Ardross,Melville,55320
Armadale,Armadale,50210
Ascot,Belmont,50490
Ashby,Wanneroo,58760
Ashendon,Armadale,50210
Ashfield,Bassendean,50350
Attadale,Melville,55320
Atwell,Cockburn,51820
Aubin Grove,Cockburn,51820
Aveley,Swan,58050
Bailup,Mundaring,56090
Balcatta,Stirling,57910
Baldivis,Rockingham,57490
Balga,Stirling,57910
Ballajura,Swan,58050
Banjup,Cockburn,51820
Banksia Grove,Wanneroo,58760
Baskerville,Swan,58050
Bassendean,Bassendean,50350
Bateman,Melville,55320
Bayswater,Bayswater,50420
Beaconsfield,Fremantle,53430
Beckenham,Gosnells,53780
Bedford,Bayswater,50420
Bedfordale,Armadale,50210
Beechboro,Swan,58050
Beechina,Mundaring,56090
Beeliar,Cockburn,51820
Beldon,Joondalup,54170
Belhus,Swan,58050
Bellevue,Mundaring,56090
Bellevue,Swan,58050
Belmont,Belmont,50490
Bentley,Canning,51330
Bentley,Victoria Park,58510
Bennett Springs,Swan,58050
Bertram,Kwinana,54830
Bibra Lake,Cockburn,51820
Bickley,Kalamunda,54200
Bicton,Melville,55320
Booragoon,Melville,55320
Boya,Mundaring,56090
Brabham,Swan,58050
Brentwood,Melville,55320
Brigadoon,Swan,58050
Brookdale,Armadale,50210
Bull Creek,Melville,55320
Bullsbrook,Swan,58050
Burns Beach,Joondalup,54170
Burswood,Victoria Park,58510
Bushmead,Swan,58050
Butler,Wanneroo,58760
Byford,Serpentine-Jarrahdale,57700
Calista,Kwinana,54830
Camillo,Armadale,50210
Canning Mills,Kalamunda,54200
Canning Vale,Canning,51330
Canning Vale,Gosnells,53780
Cannington,Canning,51330
Carabooda,Wanneroo,58760
Cardup,Serpentine-Jarrahdale,57700
Carine,Stirling,57910
Carlisle,Victoria Park,58510
Carmel,Kalamunda,54200
Carramar,Wanneroo,58760
Casuarina,Kwinana,54830
Caversham,Swan,58050
Champion Lakes,Armadale,50210
Chidlow,Mundaring,56090
Churchlands,Stirling,57910
City Beach,Cambridge,51310
Claremont,Claremont,51750
Claremont,Cottesloe,52170
Clarkson,Wanneroo,58760
Cloverdale,Belmont,50490
Cockburn Central,Cockburn,51820
Como,South Perth,57840
Connolly,Joondalup,54170
Coogee,Cockburn,51820
Coolbellup,Cockburn,51820
Coolbinia,Stirling,57910
Cooloongup,Rockingham,57490
Cottesloe,Cottesloe,52170
Craigie,Joondalup,54170
Crawley,Perth,57080
Cullacabardee,Swan,58050
Currambine,Joondalup,54170
Daglish,Subiaco,57980
Dalkeith,Nedlands,56580
Darch,Wanneroo,58760
Darling Downs,Serpentine-Jarrahdale,57700
Darlington,Mundaring,56090
Dayton,Swan,58050
Dianella,Stirling,57910
Doubleview,Stirling,57910
Duncraig,Joondalup,54170
East Cannington,Canning,51330
East Fremantle,East Fremantle,53150
East Perth,Perth,57080
East Perth,Vincent,58570
East Rockingham,Rockingham,57490
East Victoria Park,Victoria Park,58510
Eden Hill,Bassendean,50350
Edgewater,Joondalup,54170
Eglinton,Wanneroo,58760
