LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Adelaide (C),Being purchased (incl rent/buy),127,112,185,1486
Adelaide (C),Rented: Public,347,53,22,479
Adelaide (C),Rented: Private and not stated,1126,441,597,4117
Adelaide (C),Rented: Other landlord,207,51,37,349
Adelaide (C),Rented: TOTAL,1680,545,656,4945
Adelaide (C),Other tenure types,572,275,263,2240
Adelaide (C),Total households,2378,926,1099,8678
Adelaide Hills (DC),Being purchased (incl rent/buy),296,371,641,6341
Adelaide Hills (DC),Rented: Public,28,6,7,48
Adelaide Hills (DC),Rented: Private and not stated,243,183,268,1289
Adelaide Hills (DC),Rented: Other landlord,45,13,16,109
Adelaide Hills (DC),Rented: TOTAL,316,202,291,1446
Adelaide Hills (DC),Other tenure types,1161,1061,848,5975
Adelaide Hills (DC),Total households,1769,1644,1777,13761
Alexandrina (DC),Being purchased (incl rent/buy),341,427,575,3488
Alexandrina (DC),Rented: Public,115,19,7,161
Alexandrina (DC),Rented: Private and not stated,506,403,286,1708
Alexandrina (DC),Rented: Other landlord,65,21,12,146
Alexandrina (DC),Rented: TOTAL,686,443,305,2015
Alexandrina (DC),Other tenure types,1371,1254,727,4727
Alexandrina (DC),Total households,2399,2133,1615,10229
Anangu Pitjantjatjara (AC),Being purchased (incl rent/buy),0,0,0,0
Anangu Pitjantjatjara (AC),Rented: Public,64,54,45,268
Anangu Pitjantjatjara (AC),Rented: Private and not stated,0,0,0,3
Anangu Pitjantjatjara (AC),Rented: Other landlord,9,16,11,78
Anangu Pitjantjatjara (AC),Rented: TOTAL,73,70,56,349
Anangu Pitjantjatjara (AC),Other tenure types,18,7,18,142
Anangu Pitjantjatjara (AC),Total households,96,83,77,494
Barossa (DC),Being purchased (incl rent/buy),212,280,529,3586
Barossa (DC),Rented: Public,60,32,14,122
Barossa (DC),Rented: Private and not stated,311,240,257,1342
Barossa (DC),Rented: Other landlord,90,39,17,192
Barossa (DC),Rented: TOTAL,461,311,288,1656
Barossa (DC),Other tenure types,1000,824,536,3676
Barossa (DC),Total households,1669,1419,1361,8917
Barunga West (DC),Being purchased (incl rent/buy),42,32,41,211
Barunga West (DC),Rented: Public,4,0,0,4
Barunga West (DC),Rented: Private and not stated,77,33,13,167
Barunga West (DC),Rented: Other landlord,3,0,0,12
Barunga West (DC),Rented: TOTAL,84,33,13,183
Barunga West (DC),Other tenure types,203,140,74,657
Barunga West (DC),Total households,327,204,134,1046
Berri and Barmera (DC),Being purchased (incl rent/buy),125,164,191,1284
Berri and Barmera (DC),Rented: Public,142,38,13,241
Berri and Barmera (DC),Rented: Private and not stated,280,184,145,846
Berri and Barmera (DC),Rented: Other landlord,40,18,19,123
Berri and Barmera (DC),Rented: TOTAL,462,240,177,1210
Berri and Barmera (DC),Other tenure types,510,389,223,1685
Berri and Barmera (DC),Total households,1097,797,592,4179
Burnside (C),Being purchased (incl rent/buy),284,229,400,5246
Burnside (C),Rented: Public,119,9,10,150
Burnside (C),Rented: Private and not stated,659,421,626,3330
Burnside (C),Rented: Other landlord,74,16,11,142
Burnside (C),Rented: TOTAL,852,446,647,3622
Burnside (C),Other tenure types,1500,1113,1002,7909
Burnside (C),Total households,2636,1797,2048,16778
Campbelltown (C) (SA),Being purchased (incl rent/buy),356,447,755,6105
Campbelltown (C) (SA),Rented: Public,469,98,37,684
Campbelltown (C) (SA),Rented: Private and not stated,769,692,740,3832
Campbelltown (C) (SA),Rented: Other landlord,163,57,39,326
Campbelltown (C) (SA),Rented: TOTAL,1401,847,816,4842
Campbelltown (C) (SA),Other tenure types,2295,1674,1150,8331
Campbelltown (C) (SA),Total households,4056,2963,2728,19286
Ceduna (DC),Being purchased (incl rent/buy),18,18,51,312
Ceduna (DC),Rented: Public,46,13,9,120
Ceduna (DC),Rented: Private and not stated,41,38,42,218
Ceduna (DC),Rented: Other landlord,21,17,13,104
Ceduna (DC),Rented: TOTAL,108,68,64,442
Ceduna (DC),Other tenure types,99,92,61,492
Ceduna (DC),Total households,224,175,176,1249
Charles Sturt (C),Being purchased (incl rent/buy),724,1076,1810,13461
Charles Sturt (C),Rented: Public,2046,575,276,3462
