EndOfMonth,OfficeName,Suburb,Bedrooms_Group,Tenantable Stock
2019-06,Adelaide,ADELAIDE,1 Bedroom,107
2019-06,Adelaide,ADELAIDE,2 Bedrooms,188
2019-06,Adelaide,ADELAIDE,3 Bedrooms,32
2019-06,Adelaide,ATHELSTONE,2 Bedrooms,2
2019-06,Adelaide,ATHELSTONE,3 Bedrooms,3
2019-06,Adelaide,ATHELSTONE,4+ Bedrooms,1
2019-06,Adelaide,BEULAH PARK,1 Bedroom,1
2019-06,Adelaide,BEULAH PARK,2 Bedrooms,3
2019-06,Adelaide,BEULAH PARK,3 Bedrooms,1
2019-06,Adelaide,BLACK FOREST,1 Bedroom,1
2019-06,Adelaide,BLACK FOREST,2 Bedrooms,27
2019-06,Adelaide,BLACK FOREST,3 Bedrooms,31
2019-06,Adelaide,BURNSIDE,2 Bedrooms,1
2019-06,Adelaide,CAMPBELLTOWN,1 Bedroom,18
2019-06,Adelaide,CAMPBELLTOWN,2 Bedrooms,60
2019-06,Adelaide,CAMPBELLTOWN,3 Bedrooms,53
2019-06,Adelaide,CAMPBELLTOWN,4+ Bedrooms,10
2019-06,Adelaide,CLARENCE PARK,2 Bedrooms,11
2019-06,Adelaide,CLARENCE PARK,3 Bedrooms,2
2019-06,Adelaide,COLLINSWOOD,2 Bedrooms,12
2019-06,Adelaide,COLLINSWOOD,4+ Bedrooms,1
2019-06,Adelaide,DULWICH,1 Bedroom,7
2019-06,Adelaide,DULWICH,2 Bedrooms,6
2019-06,Adelaide,EASTWOOD,1 Bedroom,3
2019-06,Adelaide,EASTWOOD,2 Bedrooms,27
2019-06,Adelaide,EASTWOOD,3 Bedrooms,1
2019-06,Adelaide,EVERARD PARK,1 Bedroom,16
2019-06,Adelaide,EVERARD PARK,2 Bedrooms,24
2019-06,Adelaide,EVERARD PARK,3 Bedrooms,7
2019-06,Adelaide,FELIXSTOW,2 Bedrooms,9
2019-06,Adelaide,FELIXSTOW,3 Bedrooms,8
2019-06,Adelaide,FORESTVILLE,1 Bedroom,2
2019-06,Adelaide,FORESTVILLE,2 Bedrooms,17
2019-06,Adelaide,FORESTVILLE,3 Bedrooms,7
2019-06,Adelaide,FREWVILLE,2 Bedrooms,3
2019-06,Adelaide,FULLARTON,1 Bedroom,35
2019-06,Adelaide,FULLARTON,2 Bedrooms,70
2019-06,Adelaide,GILBERTON,1 Bedroom,26
2019-06,Adelaide,GILBERTON,2 Bedrooms,125
2019-06,Adelaide,GLENSIDE,1 Bedroom,12
2019-06,Adelaide,GLENSIDE,2 Bedrooms,77
2019-06,Adelaide,GLYNDE,2 Bedrooms,15
2019-06,Adelaide,GLYNDE,3 Bedrooms,4
2019-06,Adelaide,GOODWOOD,1 Bedroom,13
2019-06,Adelaide,GOODWOOD,2 Bedrooms,31
2019-06,Adelaide,GOODWOOD,3 Bedrooms,1
2019-06,Adelaide,GOODWOOD,4+ Bedrooms,1
2019-06,Adelaide,HACKNEY,1 Bedroom,17
2019-06,Adelaide,HACKNEY,2 Bedrooms,3
2019-06,Adelaide,HACKNEY,3 Bedrooms,9
2019-06,Adelaide,HAZELWOOD PARK,2 Bedrooms,1
2019-06,Adelaide,HECTORVILLE,1 Bedroom,8
2019-06,Adelaide,HECTORVILLE,2 Bedrooms,105
2019-06,Adelaide,HECTORVILLE,3 Bedrooms,28
2019-06,Adelaide,HECTORVILLE,4+ Bedrooms,1
2019-06,Adelaide,HYDE PARK,2 Bedrooms,2
2019-06,Adelaide,HYDE PARK,3 Bedrooms,2
2019-06,Adelaide,KENSINGTON,1 Bedroom,21
2019-06,Adelaide,KENSINGTON,2 Bedrooms,53
2019-06,Adelaide,KENSINGTON,3 Bedrooms,21
2019-06,Adelaide,KENSINGTON,4+ Bedrooms,1
2019-06,Adelaide,KENSINGTON PARK,1 Bedroom,14
2019-06,Adelaide,KENSINGTON PARK,2 Bedrooms,7
2019-06,Adelaide,KENT TOWN,1 Bedroom,37
2019-06,Adelaide,KENT TOWN,2 Bedrooms,54
2019-06,Adelaide,KENT TOWN,3 Bedrooms,13
2019-06,Adelaide,MAGILL,1 Bedroom,11
2019-06,Adelaide,MAGILL,2 Bedrooms,133
2019-06,Adelaide,MAGILL,3 Bedrooms,34
2019-06,Adelaide,MAGILL,4+ Bedrooms,2
2019-06,Adelaide,MALVERN,1 Bedroom,3
2019-06,Adelaide,MARDEN,2 Bedrooms,18
2019-06,Adelaide,MARDEN,3 Bedrooms,1
2019-06,Adelaide,MAYLANDS,1 Bedroom,12
2019-06,Adelaide,MAYLANDS,2 Bedrooms,39
2019-06,Adelaide,MAYLANDS,3 Bedrooms,12
2019-06,Adelaide,MYRTLE BANK,1 Bedroom,1
2019-06,Adelaide,MYRTLE BANK,2 Bedrooms,2
2019-06,Adelaide,MYRTLE BANK,3 Bedrooms,2
2019-06,Adelaide,NAILSWORTH,1 Bedroom,16
2019-06,Adelaide,NAILSWORTH,2 Bedrooms,49
2019-06,Adelaide,NAILSWORTH,3 Bedrooms,3
2019-06,Adelaide,NAILSWORTH,4+ Bedrooms,1
2019-06,Adelaide,NEWTON,1 Bedroom,7
2019-06,Adelaide,NEWTON,2 Bedrooms,17
2019-06,Adelaide,NEWTON,3 Bedrooms,8
2019-06,Adelaide,NEWTON,4+ Bedrooms,1
2019-06,Adelaide,NORTH ADELAIDE,1 Bedroom,22
2019-06,Adelaide,NORTH ADELAIDE,2 Bedrooms,7
2019-06,Adelaide,NORTH ADELAIDE,3 Bedrooms,3
2019-06,Adelaide,NORWOOD,1 Bedroom,34
2019-06,Adelaide,NORWOOD,2 Bedrooms,82
2019-06,Adelaide,NORWOOD,3 Bedrooms,18
2019-06,Adelaide,PARADISE,2 Bedrooms,45
2019-06,Adelaide,PARADISE,3 Bedrooms,50
2019-06,Adelaide,PARKSIDE,1 Bedroom,10
2019-06,Adelaide,PARKSIDE,2 Bedrooms,70
2019-06,Adelaide,PARKSIDE,3 Bedrooms,3
2019-06,Adelaide,PAYNEHAM,1 Bedroom,24
2019-06,Adelaide,PAYNEHAM,2 Bedrooms,34
2019-06,Adelaide,PAYNEHAM SOUTH,1 Bedroom,11
2019-06,Adelaide,PAYNEHAM SOUTH,2 Bedrooms,12
2019-06,Adelaide,PROSPECT,1 Bedroom,17
2019-06,Adelaide,PROSPECT,2 Bedrooms,83
2019-06,Adelaide,PROSPECT,3 Bedrooms,42
2019-06,Adelaide,PROSPECT,4+ Bedrooms,6
2019-06,Adelaide,ROSE PARK,2 Bedrooms,3
2019-06,Adelaide,ROSTREVOR,1 Bedroom,3
2019-06,Adelaide,ROSTREVOR,2 Bedrooms,5
2019-06,Adelaide,ROSTREVOR,3 Bedrooms,2
2019-06,Adelaide,ROSTREVOR,4+ Bedrooms,2
2019-06,Adelaide,ROYSTON PARK,2 Bedrooms,1
2019-06,Adelaide,ST MORRIS,2 Bedrooms,7
2019-06,Adelaide,ST MORRIS,3 Bedrooms,2
2019-06,Adelaide,ST MORRIS,4+ Bedrooms,1
2019-06,Adelaide,ST PETERS,1 Bedroom,1
2019-06,Adelaide,ST PETERS,2 Bedrooms,7
2019-06,Adelaide,ST PETERS,3 Bedrooms,3
2019-06,Adelaide,TOORAK GARDENS,2 Bedrooms,3
2019-06,Adelaide,TRANMERE,2 Bedrooms,18
2019-06,Adelaide,TRANMERE,3 Bedrooms,22
2019-06,Adelaide,TRANMERE,4+ Bedrooms,2
2019-06,Adelaide,TRINITY GARDENS,2 Bedrooms,4
2019-06,Adelaide,UNLEY,1 Bedroom,5
